story,index,caption_text,caption_bg,caption_opacity,note_text,note_bg,note_opacity,note_x,note_y
1,-1,,#faf9f6,0.92,"<strong>Pantitlán </strong> punto de convergencia de 4 líneas del Metro. Miles de usuarios llegan aquí desde la periferia de la ciudad y el Estado de México. Sin accesibilidad total la ruta debe iniciar desde Balbuena.", #faf9f6,0.92,,-30
1,0,,#faf9f6,0.92,,#faf9f6,0.92,,
1,1,,#faf9f6,0.92,,#faf9f6,0.92,,
1,2,,#faf9f6,0.92,,#faf9f6,0.92,,
1,3,,#faf9f6,0.92,,#faf9f6,0.92,,
1,4,,#faf9f6,0.92,,#faf9f6,0.92,,
1,5,,#faf9f6,0.92,,#faf9f6,0.92,,
1,6,,#faf9f6,0.92,"Tras la renovación de la Línea 1, varias estaciones incorporaron elementos de accesibilidad. Sin embargo, la cobertura no fue uniforme en todo el trayecto.",#faf9f6,0.92,,
1,7,,#faf9f6,0.92,,#faf9f6,0.92,,
1,8,,#faf9f6,0.92,,#faf9f6,0.92,,
1,9,,#faf9f6,0.92,"Uno de los principales centros de salud del país. Cuenta con elevador y escaleras eléctricas, por lo que sí es accesible para personas con discapacidad motriz.",#faf9f6,0.92,,
2,0,,#faf9f6,0.92,"Cuatro Caminos cuenta con elementos de accesibilidad por lo que se puede ingresar a la estación",#faf9f6,0.92,,
2,0,,#faf9f6,0.92,"Muchas de las estaciones de la Línea 2 no cuentan con accesibilidad completa",#faf9f6,0.92,,
2,9,,#faf9f6,0.92,,#faf9f6,0.92,,
2,10,,#faf9f6,0.92,,#faf9f6,0.92,,
2,11,,#faf9f6,0.92,,#faf9f6,0.92,,
2,12,,#faf9f6,0.92,,#faf9f6,0.92,,
2,13,,#faf9f6,0.92,,#faf9f6,0.92,,
2,14,,#faf9f6,0.92,,#faf9f6,0.92,,
2,15,,#faf9f6,0.92,,#faf9f6,0.92,,
2,16,,#faf9f6,0.92,,#faf9f6,0.92,,
2,17,,#faf9f6,0.92,,#faf9f6,0.92,,
2,18,,#faf9f6,0.92,,#faf9f6,0.92,,
2,19,,#faf9f6,0.92,,#faf9f6,0.92,,
2,20,,#faf9f6,0.92,,#faf9f6,0.92,,
2,21,,#faf9f6,0.92,"Copilco es la estación más cercana al destino final con salida accesible. La salida debe ser por esa estación y finalizar el recorrido fuera del metro hasta Universidad",#faf9f6,0.92,,
2,22,,#faf9f6,0.92,,#faf9f6,0.92,,
3,0,,#faf9f6,0.92,,#faf9f6,0.92,,
3,1,,#faf9f6,0.92,"<strong>Constitución de 1917</strong>, segunda estación con mayor afluencia del sistema. Si bien cuenta con elevador, este no conecta con la calle, por lo que una persona con discapacidad motriz no puede ingresar.",#faf9f6,0.92,,
3,2,,#faf9f6,0.92,"Por esa razón, es necesario que la persona con discapacidad se traslade hasta la estación Periférico Oriente, Línea 12.",#faf9f6,0.92,,
3,3,,#faf9f6,0.92,,#faf9f6,0.92,,
3,4,,#faf9f6,0.92,,#faf9f6,0.92,,
3,6,,#faf9f6,0.92,"El recorrido avanza con relativa accesibilidad por la Línea 12. Pero al transbordar a la Línea 7, las condiciones cambian drásticamente.",#faf9f6,0.92,,
3,7,,#faf9f6,0.92,,#faf9f6,0.92,,
3,8,,#faf9f6,0.92,,#faf9f6,0.92,,
3,9,,#faf9f6,0.92,"Aunque el destino es Polanco, esta estación no cuenta con accesibilidad. La salida debe realizarse en Sevilla, la estación accesible más cercana, y completar el resto del trayecto fuera del sistema.",#faf9f6,0.92,,
3,10,,#faf9f6,0.92,,#faf9f6,0.92,,
